requested_hot_wall_temperature_K,cea_wall_temperature_K,wall_enthalpy_J_per_kg,wall_conductivity_W_per_m_K,wall_cp_J_per_kg_K,reference_enthalpy_J_per_kg,reference_temperature_K,reference_conductivity_W_per_m_K,reference_cp_J_per_kg_K,reference_viscosity_Pa_s,reference_Prandtl,solid_water_mole_fraction,liquid_water_mole_fraction
257.25000000001756,257.25,-15429309.507236317,0.1567543836224691,10812.572055772596,-11141135.139029514,876.2642337857351,0.1548029791166414,2883.1370965508654,3.322937867535161e-05,0.6188824976168913,0.6481579495012411,0.0
257.3000000000176,257.29998779296875,-15428903.560315467,0.15673465344355636,10801.122915432423,-11140932.16556909,876.3346394291196,0.1548150200244417,2883.1893043515515,3.323196689925201e-05,0.6188937708457577,0.6480904152437016,0.0
257.3500000000176,257.3500061035156,-15428496.074828438,0.15671471514976476,10789.642413237576,-11140728.422825575,876.4050437976606,0.1548270607966992,2883.241512972219,3.323455501203231e-05,0.6189050427152032,0.6480225256547612,0.0
257.4000000000176,257.3999938964844,-15428087.542120002,0.1566945924219757,10778.144611869951,-11140524.156471357,876.4761509157189,0.15483922183906262,2883.294244511252,3.323716889314602e-05,0.6189164259238085,0.647954362120367,0.0
257.4500000000176,257.45001220703125,-15427677.457444808,0.15667426003934612,10766.615526710088,-11140319.114133758,876.5472567334093,0.15485138274314764,2883.3469768866207,3.323978266091601e-05,0.618927807746435,0.6478858399475004,0.0
257.5000000000176,257.5,-15427266.315259954,0.15665374216066352,10755.069281001031,-11140113.543041332,876.6183612506769,0.15486354350893836,2883.3997100982647,3.324239631534344e-05,0.6189391881834385,0.6478170412793407,0.0
257.55000000001763,257.54998779296875,-15426853.859780988,0.15663302578774363,10743.498903333602,-11139907.315301849,876.6898164604345,0.1548757643372038,2883.4527052077924,3.324502279447264e-05,0.6189506235636995,0.6477479229273315,0.0
257.60000000001764,257.6000061035156,-15426439.831985667,0.15661209743611343,10731.897363997668,-11139700.30140419,876.7616223432931,0.15488804522587343,2883.5059622276417,3.324766209661594e-05,0.6189621138669219,0.6476784409146721,0.0
257.65000000001766,257.6499938964844,-15426024.731052421,0.15659098198732865,10720.278876563303,-11139492.750937566,876.8337788797074,0.15490038617284968,2883.5594811702076,3.325031422007523e-05,0.6189736590727224,0.647608678533437,0.0
257.70000000001767,257.70001220703125,-15425608.044065528,0.15656965300099165,10708.629312248926,-11139284.40744412,876.9059340769671,0.15491272697737335,2883.6130009738745,3.325296622682005e-05,0.6189852028530167,0.6475385491011352,0.0
257.7500000000177,257.75,-15425190.27338722,0.1565481358445682,10696.962944503692,-11139075.522104964,876.9784399018165,0.15492512783742363,2883.666782716978,3.325563105261608e-05,0.6189968015088844,0.6474681366847336,0.0
257.8000000000177,257.79998779296875,-15424771.159061627,0.15652641690539457,10685.27273151293,-11138865.964942168,877.0509443743624,0.15493752855359233,2883.720565329383,3.3258295760560945e-05,0.6190083987260875,0.6473973970796265,0.0
257.8500000000177,257.8500061035156,-15424350.437820198,0.15650448207649617,10673.55157386045,-11138655.604321454,877.1241514017436,0.15495004951906138,2883.7748709849575,3.326098621988627e-05,0.6190201070783498,0.6473262852744072,0.0
257.9000000000177,257.8999938964844,-15423928.61685493,0.15648235746018246,10661.813834269758,-11138444.69383882,877.1973570505868,0.15496257033783736,2883.8291775266953,3.32636765590733e-05,0.6190318139647161,0.6472548865117584,0.0
257.9500000000177,257.95001220703125,-15423505.174889673,0.15646001537644735,10650.045241539552,-11138232.97285619,877.2705613208218,0.15497509100989257,2883.883484954433,3.326636677812298e-05,0.6190435193855878,0.6471831120727309,0.0
258.00000000001774,258.0,-15423080.622373447,0.1564374824216085,10638.260217550434,-11138020.696598079,877.3441161462819,0.15498767172972672,2883.938054368057,3.326906980992315e-05,0.619055279606877,0.6471110479930063,0.0
258.05000000001775,258.04998779296875,-15422654.69508148,0.1564147443585081,10626.451650954074,-11137807.732952096,877.4180215068055,0.15500031249516744,2883.992885780162,3.327178565272961e-05,0.6190670946077372,0.6470386490277932,0.0
258.10000000001776,258.1000061035156,-15422227.125399385,0.15639178644757074,10614.6123735396,-11137593.948111046,877.4922773824757,0.15501301330409273,2884.047979203703,3.32745143048024e-05,0.6190789643672862,0.6469658691064798,0.0
258.15000000001777,258.1499938964844,-15421798.428717067,0.15636863603216275,10602.756895345792,-11137379.599769888,877.5665318396311,0.1550257139620053,2884.103073538747,3.327724283326703e-05,0.61909083262047,0.6468927954679413,0.0
258.2000000000178,258.20001220703125,-15421368.075203119,0.1563452641724115,10590.87080459099,-11137164.423012914,877.64113678513,0.155038474660524,2884.1584299023584,3.327998416866516e-05,0.6191027556046536,0.6468193373085983,0.0
258.2500000000178,258.25,-15420936.583579568,0.15632169871387022,10578.968669705351,-11136948.677201139,877.7157402986162,0.15505123520656414,2884.213787185944,3.328272537928725e-05,0.6191146770690149,0.6467455826788774,0.0
